Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IEFN,8,0,0.00,5,31.00,31.75,8,0
XDAT,8,0,0.00,0,0.00,25.30,8,0
MBBB,7,0,0.00,0,0.00,25.13,7,0
IBMP,5,0,0.00,0,0.00,27.18,5,0
KWT,5,0,0.00,0,0.00,31.86,5,0
BLDG,4,0,0.00,0,0.00,32.93,4,0
FFHG,4,0,0.00,5,32.95,35.80,4,0
ACSI,3,0,0.00,0,0.00,49.18,3,0
DJAN,3,0,0.00,0,0.00,31.53,3,0
ESGG,3,1,148.00,2,125.00,140.97,3,0
EUDV,3,0,0.00,90,30.15,52.96,3,0
PBND,3,0,0.00,0,0.00,25.93,3,0
TFLT,3,0,0.00,0,0.00,23.72,3,0
VFMV,3,1500,99.26,1600,96.63,97.55,3,0
BOB,2,0,0.00,0,0.00,26.04,2,0
CBTG,2,0,0.00,0,0.00,28.14,2,0
DFVS,2,0,0.00,0,0.00,16.83,2,0
FDEV,2,0,0.00,700,15.05,29.65,2,0
IMLP,2,0,0.00,0,0.00,13.82,2,0
OSCV,2,0,0.00,0,0.00,33.13,2,0
DJUL,1,0,0.00,0,0.00,32.47,1,0
DJUN,1,0,0.00,0,0.00,33.21,1,0
DMAR,1,0,0.00,0,0.00,30.79,1,0
DOCT,1,0,0.00,0,0.00,32.16,1,0
DSEP,1,0,0.00,0,0.00,32.22,1,0
FEDX,1,0,0.00,0,0.00,30.47,1,0
NULC,1,0,0.00,0,0.00,39.50,1,0
ADME,0,0,0.00,0,0.00,0.00,0,0
AMER,0,0,0.00,0,0.00,0.00,0,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
ARCM,0,0,0.00,0,0.00,0.00,0,0
AUGZ,0,0,0.00,0,0.00,0.00,0,0
AVDR,0,0,0.00,0,0.00,0.00,0,0
BNOV,0,0,0.00,0,0.00,0.00,0,0
CFCV,0,698,75.00,0,0.00,0.00,0,0
DBJA,0,0,0.00,0,0.00,0.00,0,0
DECZ,0,0,0.00,0,0.00,0.00,0,0
DFVL,0,0,0.00,0,0.00,0.00,0,0
DSOC,0,0,0.00,0,0.00,0.00,0,0
EAOM,0,0,0.00,0,0.00,0.00,0,0
EAOR,0,0,0.00,0,0.00,0.00,0,0
ESCR,0,0,0.00,0,0.00,0.00,0,0
FAUG,0,0,0.00,0,0.00,0.00,0,0
FJUN,0,0,0.00,0,0.00,0.00,0,0
FSEP,0,0,0.00,0,0.00,0.00,0,0
FUT,0,0,0.00,0,0.00,0.00,0,0
GSEE,0,0,0.00,0,0.00,0.00,0,0
GSID,0,0,0.00,0,0.00,0.00,0,0
JANZ,0,0,0.00,0,0.00,0.00,0,0
JULZ,0,0,0.00,0,0.00,0.00,0,0
KOCT,0,0,0.00,0,0.00,0.00,0,0
LSLT,0,0,0.00,20,29.71,0.00,0,0
MAAX,0,10,25.97,5,25.03,0.00,0,0
MAMB,0,0,0.00,0,0.00,0.00,0,0
MARZ,0,0,0.00,0,0.00,0.00,0,0
MBCC,0,0,0.00,0,0.00,0.00,0,0
MBND,0,0,0.00,0,0.00,0.00,0,0
MIG,0,0,0.00,0,0.00,0.00,0,0
MRSK,0,0,0.00,0,0.00,0.00,0,0
NOCT,0,0,0.00,0,0.00,0.00,0,0
NVMZ,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
PDEC,0,0,0.00,0,0.00,0.00,0,0
PLRG,0,0,0.00,0,0.00,0.00,0,0
PSCW,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSFD,0,0,0.00,0,0.00,0.00,0,0
PSFM,0,0,0.00,0,0.00,0.00,0,0
PXUS,0,0,0.00,20,20.00,0.00,0,0
REC,0,0,0.00,0,0.00,0.00,0,0
RODI,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
STLV,0,0,0.00,0,0.00,0.00,0,0
STMB,0,0,0.00,0,0.00,0.00,0,0
STSB,0,0,0.00,0,0.00,0.00,0,0
TAEQ,0,0,0.00,0,0.00,0.00,0,0
TBJL,0,400,23.60,0,0.00,0.00,0,0
TEGS,0,0,0.00,0,0.00,0.00,0,0
THY,0,0,0.00,0,0.00,0.00,0,0
UAPR,0,0,0.00,0,0.00,0.00,0,0
UAUG,0,0,0.00,0,0.00,0.00,0,0
UMAY,0,0,0.00,0,0.00,0.00,0,0
USEQ,0,0,0.00,0,0.00,0.00,0,0
VIRS,0,0,0.00,8,25.94,0.00,0,0
WIL,0,0,0.00,0,0.00,0.00,0,0
XDAP,0,0,0.00,0,0.00,0.00,0,0
XDSQ,0,0,0.00,0,0.00,0.00,0,0
XTAP,0,0,0.00,0,0.00,0.00,0,0
YDEC,0,0,0.00,0,0.00,0.00,0,0
